tweet,sentiment_label
RT @SudarshanNewsTV: बजबजाती नालियां, टूटे घर, हर तरफ मलबा... शायद इनके ऐसे हाल पाकिस्तान में भी न रहे हों ...
Arvind Kejriwal
Narendra Mod…,Neutral
RT @KapilMishra_IND: Dear @bainjal - Perhaps Kejriwal has lied to you as well, he actually has the power to write ACR of IAS officers in De…,Neutral
RT @kapsology: Yeh lo.. Kejriwal ki ek aur scheme ki copy! https://t.co/8K2Mpo4l0H,Neutral
RT @thewolveriin: Pic 1 : Delhiites expectation from kejriwal to solve their problems after giving historic 67 out of 70 seats.

Pic 2 : Re…,Neutral
@ChandrusWeb To quote Kejriwal, congress BJP se Mili hui hai jee.,Neutral
RT @Kavita_M57: One nation one idiot : Rahul Gandhi

One Nation one Nautanki : Kejriwal

One Nation One anti-National  : Sonia Gandhi

One…,Neagtive
RT @iAnkurSingh: I hope Sushma Swaraj soon realises that she is external affairs minister and followed by many world leaders and stop RTing…,Positive
@firkiii Puri kejriwal hai bhai.... Woh bhi aise kisi ko bhi blame karta hai.... Chhod tu chill marr.😂😂😂😂,Neutral
RT @SinghAwantika: मुख्य सचिव से मारपीट केस में केजरीवाल-सिसोदिया पर अपराधिक साजिश रचने का केस चलाने की तैयारी में दिल्ली पुलिस https://t.c…,Neutral
RT @NitinRaut2: Retweeted Arvind Kejriwal (@ArvindKejriwal):

शुक्रिया हेमंत जी। मैं उम्मीद करता हूँ कि अब तो LG साहिब दिल्ली सरकार को ये…,Neutral
RT @iAnkurSingh: I hope Sushma Swaraj soon realises that she is external affairs minister and followed by many world leaders and stop RTing…,Positive
RT @AMIT_GUJJU: Movie- Mohalla Clinic
Genre- Comedy
Cast- Kejriwal(Actor) , Kapil Mishra(Villain)
@ArvindKejriwal https://t.co/R3HUzrVVXd,Neutral
RT @thewolveriin: Pic 1 : Delhiites expectation from kejriwal to solve their problems after giving historic 67 out of 70 seats.

Pic 2 : Re…,Neutral
RT @SinghAwantika: मुख्य सचिव से मारपीट केस में केजरीवाल-सिसोदिया पर अपराधिक साजिश रचने का केस चलाने की तैयारी में दिल्ली पुलिस https://t.c…,Neutral
RT @SharmaKhemchand: #Power के खेल में #Kejriwal जी की बड़ी चीटिंग सामने आयी!

@ArvindKejriwal जी कहते थे #Discom का #Audit करवाके बिजली के…,Neutral
RT @KapilMishra_IND: Dear @bainjal - Perhaps Kejriwal has lied to you as well, he actually has the power to write ACR of IAS officers in De…,Neutral
RT @bjp4cantt_jbp: अरे Arvind Kejriwal जी जनता ने चंदा देना बंद कर दिया तो अब दिल्ली सचिवालय के लिफाफे ही रद्दी में बेचने शुरू कर दिए।

भ्र…,Neutral
RT @SharmaKhemchand: #Power के खेल में #Kejriwal जी की बड़ी चीटिंग सामने आयी!

@ArvindKejriwal जी कहते थे #Discom का #Audit करवाके बिजली के…,Neutral
BREAKING NEWS: #kejriwal walks in delhi,Neutral
RT @SinghAwantika: मुख्य सचिव से मारपीट केस में केजरीवाल-सिसोदिया पर अपराधिक साजिश रचने का केस चलाने की तैयारी में दिल्ली पुलिस https://t.c…,Neutral
RT @RepublicROFL: See the sequence and connect dots:

Kejriwal makes policy.

Modi blocks the policy thru LG.

Modi copies Kejriwal policy…,Neutral
RT @Hemant_80: Contradictions Sharpen Globally: Latino Bartender Pulls Off a Kejriwal in New York
https://t.co/acTmDSlykX,Positive
RT @PVishnukant: ‘लंपटेश’ से ‘बौने सरदार’ तक, केजरीवाल पर कुमार विश्वास का अब तक का सबसे

आप के बागी नेता कुमार विश्वास ने दिल्ली के सीएम प…,Neutral
अरे Arvind Kejriwal जी जनता ने चंदा देना बंद कर दिया तो अब दिल्ली सचिवालय के लिफाफे ही रद्दी में बेचने शुरू कर दिए।… https://t.co/tv2owJu0A6,Neutral
@ameytirodkar Modi or Kejriwal kii yaad dila dii...,Neutral
RT @manish1958: What's the difference between educated and uneducated politician?

Listen to Arvind Kejriwal once and Narendra Modi once.…,Neutral
RT @SudarshanNewsTV: बजबजाती नालियां, टूटे घर, हर तरफ मलबा... शायद इनके ऐसे हाल पाकिस्तान में भी न रहे हों ...
Arvind Kejriwal
Narendra Mod…,Neutral
@VRecriwal Thanks, Kejriwal. Always knew you had an eye for detail.
And, CheeseToast is the bomb! 😉,Positive
RT @SinghAwantika: मुख्य सचिव से मारपीट केस में केजरीवाल-सिसोदिया पर अपराधिक साजिश रचने का केस चलाने की तैयारी में दिल्ली पुलिस https://t.c…,Neutral
RT @SudarshanNewsTV: बजबजाती नालियां, टूटे घर, हर तरफ मलबा... शायद इनके ऐसे हाल पाकिस्तान में भी न रहे हों ...
Arvind Kejriwal
Narendra Mod…,Neutral
RT @NitinRaut2: Retweeted Republic ROFL™ (@RepublicROFL):

See the sequence and connect dots:

Kejriwal makes policy.

Modi blocks the poli…,Neutral
Pic 1 : Delhiites expectation from kejriwal to solve their problems after giving historic 67 out of 70 seats.

Pic… https://t.co/VPayHOJydR,Neutral
RT @Kavita_M57: One nation one idiot : Rahul Gandhi

One Nation one Nautanki : Kejriwal

One Nation One anti-National  : Sonia Gandhi

One…,Neagtive
Arun jetli v/s  kejriwal .... https://t.co/1yOrkPjfCb,Neutral
Retweeted Republic ROFL™ (@RepublicROFL):

See the sequence and connect dots:

Kejriwal makes policy.

Modi blocks… https://t.co/04rubG6lNI,Neutral
RT @RepublicROFL: See the sequence and connect dots:

Kejriwal makes policy.

Modi blocks the policy thru LG.

Modi copies Kejriwal policy…,Neutral
Retweeted Arvind Kejriwal (@ArvindKejriwal):

शुक्रिया हेमंत जी। मैं उम्मीद करता हूँ कि अब तो LG साहिब दिल्ली सरकार… https://t.co/2gESoHj6se,Neutral
RT @SudarshanNewsTV: बजबजाती नालियां, टूटे घर, हर तरफ मलबा... शायद इनके ऐसे हाल पाकिस्तान में भी न रहे हों ...
Arvind Kejriwal
Narendra Mod…,Neutral
RT @SudarshanNewsTV: बजबजाती नालियां, टूटे घर, हर तरफ मलबा... शायद इनके ऐसे हाल पाकिस्तान में भी न रहे हों ...
Arvind Kejriwal
Narendra Mod…,Neutral
@SandipGhose I think you took trolling the PM as aggressive politics by RG. Kejriwal also adopted the same strategy… https://t.co/HFxAbDPPvP,Neutral
RT @ajaymaken: Ajay Maken leads protests against Modi, Kejriwal over rising pollution in Delhi - NewsX 

https://t.co/jCn1Hlmv2z,Neutral
@ShekharGupta @deekbhardwaj Kya 🔔 Report.....Story kab ki khatam ho chuki hai....ABHI KEJRIWAL HOTA TO TAKLE TUNE J… https://t.co/Z8ZrrBWQBB,Neutral
RT @SudarshanNewsTV: बजबजाती नालियां, टूटे घर, हर तरफ मलबा... शायद इनके ऐसे हाल पाकिस्तान में भी न रहे हों ...
Arvind Kejriwal
Narendra Mod…,Neutral
RT @SinghAwantika: मुख्य सचिव से मारपीट केस में केजरीवाल-सिसोदिया पर अपराधिक साजिश रचने का केस चलाने की तैयारी में दिल्ली पुलिस https://t.c…,Neutral
@ArvindKejriwal 

Kejriwal k 3 kaam ....
1 dharna 
2 dharna 
3 dharna,Neutral
RT @SinghAwantika: मुख्य सचिव से मारपीट केस में केजरीवाल-सिसोदिया पर अपराधिक साजिश रचने का केस चलाने की तैयारी में दिल्ली पुलिस https://t.c…,Neutral
RT @SinghAwantika: मुख्य सचिव से मारपीट केस में केजरीवाल-सिसोदिया पर अपराधिक साजिश रचने का केस चलाने की तैयारी में दिल्ली पुलिस https://t.c…,Neutral
RT @praveenskapoor: श्री @ManojTiwariMP जी कुछ कीजिये

यह देखिये #kejriwal  का #power खेल

